coach,unit,new_team,prior_stops,notes
# 2021-22 cycle: offensive play-callers moving into new FBS jobs for 2022. Researched
# 2026-07-22 (TWO independent agent sweeps — carousel-tracker-based + conference-by-conference —
# merged; rows kept only where sweeps agree or a single sweep met the evidence standard; grades
# in notes). Conflicts between sweeps resolved conservatively (see excluded section).
# prior_stops = seasons the coach ACTUALLY CALLED PLAYS. Single season: "Team:2021-2021".
# Baseline-continuity rule applied (matches Phase 0 precedent): baseline caller must be
# continuous through the 2021 season minus at most ~2 games (bowl/finale interim noise, noted).
# Run: python3 src/backtest.py --test-year 2022   (shares repo-root cache)
Lincoln Riley,offense,USC,"Oklahoma:2015-2021","CONFIRMED both sweeps — called OU plays as OC 2015-16 and as HC 2017-21, kept calling at USC 2022. ECU 2010-14 omitted (pre-2014 PBP floor). USC 2021 baseline: Harrell called ALL season (caller continuous through Helton firing — program chaos, caller clean). si.com; en.wikipedia.org"
Jeff Lebby,offense,Oklahoma,"Ole Miss:2020-2021","CONFIRMED both sweeps, caveat — OU bio: 'called the plays at Ole Miss in conjunction with Lane Kiffin' (Kiffin-shared signal); UCF 2018-19 omitted (Heupel-run, ambiguous). OU 2021 baseline: L. Riley called full regular season, left pre-bowl (~1 game noise). soonersports.com; espn.com 12/2021"
Garrett Riley,offense,TCU,"SMU:2020-2021","CONFIRMED both sweeps — SMU caller 2020-21 (not Dykes, per 247sports Broyles coverage); TCU caller full 2022, Broyles winner. VERIFY baseline: TCU 2021 caller continuity unclear (Patterson fired 10/31; sweeps conflict on who called — Cumbie had left for TT after 2020). footballscoop.com 12/2022; 247sports.com"
Josh Gattis,offense,Miami,"Michigan:2019-2021","CONFIRMED both sweeps — Michigan caller 2019-21, 2021 Broyles winner; Miami caller full 2022 (fired 1/2023, post-season). Predecessor clean: Lashlee called Miami 2021. espn.com; caneswarning.com 9/2022"
Mike Denbrock,offense,LSU,"Cincinnati:2017-2021","CONFIRMED both sweeps — lsusports.net: 'Denbrock will have the play-calling responsibilities' (2022); called Cincinnati's plays 5 seasons under Fickell. LSU 2021 baseline: Peetz called full season (Orgeron lame-duck — mild regime noise). Also appears in movers_2024 (LSU->ND). lsusports.net 1/2022; theadvocate.com"
Billy Napier,offense,Florida,"Louisiana:2018-2021","CONFIRMED both sweeps — primary caller at Florida from 2022 and as Louisiana HC 2018-21. Florida 2021 baseline: Mullen (caller-HC) fired 11/21/21 — final reg. game + bowl by interim (~2 games noise, at tolerance limit). saturdaydownsouth.com; espn.com 11/2021"
Zach Kittley,offense,Texas Tech,"Houston Baptist:2018-2020; Western Kentucky:2021-2021","CONFIRMED both sweeps — WKU caller 2021 (1000+ plays, TT bio); on-record HBU calling quote. FCS priors flag: HBU 2018-20 public PBP thin (usable FBS prior = WKU only). TT 2021 baseline: Cumbie (OC) called all season incl. his interim-HC stretch — caller continuous. texastech.com; washingtonpost.com 9/2022"
Barry Lunney Jr,offense,Illinois,"UTSA:2020-2021","VERIFY — Illinois 2022 calling CONFIRMED ('Year Two as play-caller' refs); UTSA 2020-21 offense credited to him under defense-background Traylor but no on-record UTSA calling quote in either sweep. Predecessor clean: Petersen called Illinois 2021. fightingillini.com 1/8/2022; 247sports.com"
Robert Anae,offense,Syracuse,"Virginia:2016-2021","CONFIRMED both sweeps — UVA caller 2016-21 ('As the play caller at Virginia in 2021... third in FBS'); ran Syracuse offense full 2022, left for NC State 12/2022. BYU 2013-15 omitted (pre-2014 floor + bio-level evidence only). Predecessor clean: Gilbert called Syracuse 2021. deseret.com 12/2022; dailyorange.com"
Graham Harrell,offense,West Virginia,"North Texas:2016-2018; USC:2019-2021","CONFIRMED both sweeps — UNT 'OC and play-caller' 2016-18; USC caller 2019-21 through both regimes; Neal Brown handed WVU calling to him 2022. WVU 2021 baseline: sweeps disagree (Brown sole caller vs Brown/Parker shared) — program profile unaffected, attribution note only. espn.com 1/2022; dentonrc.com"
Frank Cignetti Jr,offense,Pittsburgh,"Boston College:2020-2021","CONFIRMED both sweeps — BC play-caller 2020-21 under Hafley; Pitt caller 2022 (most points since 1977). NFL 2016-19 gap (non-calling). Predecessor clean: Whipple called Pitt 2021 (ACC title). post-gazette.com 1/2022; triblive.com"
Joe Moorhead,offense,Akron,"Penn State:2016-2017; Mississippi State:2018-2019; Oregon:2020-2021","CONFIRMED (sweep 1 only) — Akron bio credits play-calling at Oregon/PSU; calls own plays as Akron HC (led MAC passing 2022). Fordham FCS omitted. VERIFY baseline: Akron 2021 = Arth fired mid-Nov (~2 games interim) — spot-check OC/caller continuity. gozips.com; espn.com 2/2023"
